Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;;Viajero;Residentes en el Extranjero;2023M07;152.880
Total Nacional;;Viajero;Residentes en el Extranjero;2023M06;116.798
Total Nacional;;Viajero;Residentes en el Extranjero;2023M05;116.434
Total Nacional;;Viajero;Residentes en el Extranjero;2023M04;99.280
Total Nacional;;Viajero;Residentes en el Extranjero;2023M03;48.664
Total Nacional;;Viajero;Residentes en el Extranjero;2023M02;31.218
Total Nacional;;Viajero;Residentes en el Extranjero;2023M01;22.900
Total Nacional;;Viajero;Residentes en el Extranjero;2022M12;27.204
Total Nacional;;Viajero;Residentes en el Extranjero;2022M11;30.634
Total Nacional;;Viajero;Residentes en el Extranjero;2022M10;83.632
Total Nacional;;Viajero;Residentes en el Extranjero;2022M09;114.187
Total Nacional;;Viajero;Residentes en el Extranjero;2022M08;136.319
Total Nacional;;Viajero;Residentes en el Extranjero;2022M07;126.952
Total Nacional;;Viajero;Residentes en el Extranjero;2022M06;101.845
Total Nacional;;Viajero;Residentes en el Extranjero;2022M05;95.909
Total Nacional;;Viajero;Residentes en el Extranjero;2022M04;72.193
Total Nacional;;Viajero;Residentes en el Extranjero;2022M03;35.186
Total Nacional;;Viajero;Residentes en el Extranjero;2022M02;23.776
Total Nacional;;Viajero;Residentes en el Extranjero;2022M01;16.109
Total Nacional;;Viajero;Residentes en el Extranjero;2021M12;20.726
Total Nacional;;Viajero;Residentes en el Extranjero;2021M11;26.315
Total Nacional;;Viajero;Residentes en el Extranjero;2021M10;71.771
Total Nacional;;Viajero;Residentes en el Extranjero;2021M09;85.916
Total Nacional;;Viajero;Residentes en el Extranjero;2021M08;90.213
Total Nacional;;Viajero;Residentes en el Extranjero;2021M07;80.383
Total Nacional;;Viajero;Residentes en el Extranjero;2021M06;45.012
Total Nacional;;Viajero;Residentes en el Extranjero;2021M05;30.800
Total Nacional;;Viajero;Residentes en el Extranjero;2021M04;11.842
Total Nacional;;Viajero;Residentes en el Extranjero;2021M03;6.787
Total Nacional;;Viajero;Residentes en el Extranjero;2021M02;2.412
Total Nacional;;Viajero;Residentes en el Extranjero;2021M01;2.715
Total Nacional;;Viajero;Residentes en el Extranjero;2020M12;5.573
Total Nacional;;Viajero;Residentes en el Extranjero;2020M11;.
