Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M12;18.559
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M11;12.734
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M10;15.559
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M09;14.649
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M08;25.637
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M07;16.590
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M06;13.767
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M05;10.800
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M04;14.639
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M03;16.646
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M02;9.334
Total Nacional;02 Aragón;Viajero;Residentes en España;2018M01;6.680
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M12;18.793
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M11;8.481
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M10;15.199
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M09;13.277
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M08;22.468
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M07;15.921
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M06;13.959
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M05;9.625
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M04;19.747
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M03;11.791
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M02;9.226
Total Nacional;02 Aragón;Viajero;Residentes en España;2017M01;6.555
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2024M10;2.466
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2024M09;3.543
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2024M08;6.590
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2024M07;3.717
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2024M06;2.690
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2024M05;3.895
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2024M04;1.976
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2024M03;947
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2024M02;846
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2024M01;470
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M12;568
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M11;843
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M10;1.724
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M09;2.692
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M08;5.178
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M07;4.643
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M06;1.931
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M05;2.787
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M04;1.927
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M03;723
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M02;577
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2023M01;267
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M12;367
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M11;616
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M10;1.710
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M09;2.489
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M08;5.446
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M07;3.366
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M06;2.294
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M05;2.150
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M04;1.616
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M03;670
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M02;676
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2022M01;455
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M12;965
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M11;1.160
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M10;1.720
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M09;1.692
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M08;2.691
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M07;1.968
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M06;610
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M05;407
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M04;90
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M03;199
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M02;41
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2021M01;7
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M12;136
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M11;.
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M10;527
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M09;572
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M08;1.734
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M07;1.352
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M06;52
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M05;.
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M04;.
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M03;330
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M02;713
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2020M01;627
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M12;1.050
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M11;543
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M10;1.787
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M09;2.546
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M08;4.498
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M07;3.944
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M06;2.049
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M05;2.014
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M04;1.531
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M03;806
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M02;309
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2019M01;204
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M12;613
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M11;427
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M10;1.619
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M09;2.853
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M08;5.614
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M07;4.167
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M06;2.205
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M05;2.430
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M04;1.463
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M03;497
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M02;403
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2018M01;270
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M12;405
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M11;305
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M10;1.636
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M09;2.269
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M08;3.782
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M07;3.029
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M06;1.921
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M05;2.274
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M04;1.459
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M03;726
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M02;246
Total Nacional;02 Aragón;Viajero;Residentes en el Extranjero;2017M01;90
Total Nacional;02 Aragón;Pernoctaciones;Total;2024M10;46.342
Total Nacional;02 Aragón;Pernoctaciones;Total;2024M09;54.764
Total Nacional;02 Aragón;Pernoctaciones;Total;2024M08;122.238
Total Nacional;02 Aragón;Pernoctaciones;Total;2024M07;81.310
Total Nacional;02 Aragón;Pernoctaciones;Total;2024M06;51.125
Total Nacional;02 Aragón;Pernoctaciones;Total;2024M05;45.516
Total Nacional;02 Aragón;Pernoctaciones;Total;2024M04;43.450
Total Nacional;02 Aragón;Pernoctaciones;Total;2024M03;53.920
Total Nacional;02 Aragón;Pernoctaciones;Total;2024M02;32.694
Total Nacional;02 Aragón;Pernoctaciones;Total;2024M01;26.791
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M12;64.512
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M11;35.904
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M10;51.944
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M09;55.542
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M08;124.051
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M07;84.329
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M06;44.856
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M05;39.521
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M04;67.995
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M03;34.125
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M02;34.326
Total Nacional;02 Aragón;Pernoctaciones;Total;2023M01;28.050
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M12;57.755
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M11;27.144
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M10;51.463
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M09;51.585
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M08;134.336
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M07;85.030
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M06;51.527
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M05;37.295
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M04;66.217
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M03;33.890
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M02;34.173
Total Nacional;02 Aragón;Pernoctaciones;Total;2022M01;28.975
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M12;55.312
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M11;33.811
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M10;70.697
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M09;57.775
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M08;149.047
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M07;93.907
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M06;37.212
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M05;19.853
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M04;18.894
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M03;12.050
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M02;6.401
Total Nacional;02 Aragón;Pernoctaciones;Total;2021M01;3.730
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M12;7.882
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M11;6.383
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M10;33.501
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M09;39.761
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M08;109.479
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M07;72.757
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M06;14.752
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M05;5.035
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M04;.
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M03;7.706
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M02;30.275
Total Nacional;02 Aragón;Pernoctaciones;Total;2020M01;23.937
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M12;57.254
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M11;33.398
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M10;39.023
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M09;40.860
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M08;128.215
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M07;72.516
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M06;48.979
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M05;36.453
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M04;53.009
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M03;34.081
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M02;22.855
Total Nacional;02 Aragón;Pernoctaciones;Total;2019M01;19.230
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M12;58.391
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M11;33.664
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M10;41.966
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M09;44.595
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M08;123.191
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M07;68.630
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M06;40.957
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M05;31.412
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M04;41.020
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M03;44.945
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M02;21.493
Total Nacional;02 Aragón;Pernoctaciones;Total;2018M01;18.147
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M12;55.470
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M11;18.838
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M10;41.146
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M09;38.111
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M08;114.212
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M07;63.612
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M06;37.997
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M05;26.557
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M04;60.391
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M03;24.889
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M02;19.562
Total Nacional;02 Aragón;Pernoctaciones;Total;2017M01;17.055
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2024M10;39.444
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2024M09;45.489
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2024M08;101.495
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2024M07;64.780
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2024M06;44.027
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2024M05;35.896
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2024M04;38.080
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2024M03;51.056
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2024M02;30.763
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2024M01;25.437
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M12;62.846
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M11;32.705
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M10;47.161
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M09;48.564
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M08;107.083
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M07;68.665
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M06;39.686
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M05;31.449
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M04;61.693
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M03;31.026
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M02;32.221
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2023M01;26.551
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M12;56.185
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M11;25.678
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M10;45.936
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M09;45.909
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M08;114.151
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M07;72.729
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M06;45.349
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M05;31.715
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M04;61.622
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M03;31.828
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M02;32.253
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2022M01;27.911
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M12;51.123
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M11;30.098
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M10;64.949
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M09;53.005
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M08;137.973
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M07;85.943
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M06;35.513
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M05;18.424
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M04;17.835
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M03;10.810
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M02;5.971
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2021M01;3.658
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M12;7.164
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M11;.
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M10;31.953
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M09;38.015
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M08;102.061
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M07;65.703
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M06;14.308
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M05;.
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M04;.
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M03;6.551
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M02;27.695
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2020M01;21.799
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M12;53.728
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M11;30.561
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M10;32.954
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M09;33.407
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M08;109.068
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M07;54.117
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M06;38.426
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M05;28.446
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M04;47.587
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M03;30.777
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M02;21.579
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2019M01;17.980
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M12;56.425
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M11;32.410
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M10;37.833
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M09;36.823
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M08;103.050
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M07;50.003
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M06;30.485
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M05;22.912
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M04;35.291
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M03;42.793
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M02;19.623
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2018M01;16.121
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M12;54.684
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M11;17.970
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M10;36.600
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M09;31.159
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M08;99.398
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M07;52.025
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M06;32.769
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M05;20.979
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M04;56.470
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M03;23.596
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M02;19.008
Total Nacional;02 Aragón;Pernoctaciones;Residentes en España;2017M01;16.710
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2024M10;6.898
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2024M09;9.275
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2024M08;20.743
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2024M07;16.529
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2024M06;7.098
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2024M05;9.620
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2024M04;5.370
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2024M03;2.864
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2024M02;1.931
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2024M01;1.354
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M12;1.666
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M11;3.199
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M10;4.782
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M09;6.978
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M08;16.968
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M07;15.664
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M06;5.170
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M05;8.072
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M04;6.301
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M03;3.099
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M02;2.105
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M01;1.499
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M12;1.570
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M11;1.466
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M10;5.527
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M09;5.676
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M08;20.185
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M07;12.301
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M06;6.178
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M05;5.580
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M04;4.595
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M03;2.062
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M02;1.920
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M01;1.064
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M12;4.189
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M11;3.713
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M10;5.748
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M09;4.770
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M08;11.074
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M07;7.964
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M06;1.700
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M05;1.429
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M04;1.059
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M03;1.240
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M02;430
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M01;72
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M12;718
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M11;.
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M10;1.548
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M09;1.746
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M08;7.419
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M07;7.054
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M06;444
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M05;.
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M04;.
Total Nacional;02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M03;1.155
